지점,지점명,일시,평균기온(°C),평균 이슬점온도(°C),평균 증기압(hPa),평균 현지기압(hPa),평균 해면기압(hPa),가조시간(hr),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C)
108,서울,2013-09-11,20.1,18.4,21.2,1003.4,1013.4,12.6,20.7,18.5,21.2
108,서울,2013-09-12,23,19.3,22.4,1005.8,1015.6,12.6,23.6,17.9,23.4
108,서울,2013-09-13,22.9,20.6,24.3,1000.8,1010.6,12.5,23.3,20.1,23.3
108,서울,2013-09-14,23.1,19.5,22.7,999.8,1009.5,12.5,24.1,21.1,23.8
108,서울,2013-09-15,23.4,14,16.7,999.2,1009,12.4,24.1,14.2,23.9
108,서울,2013-09-16,20.9,8.9,11.5,1002.4,1012.3,12.4,23.8,10.4,22.3
108,서울,2013-09-17,22.6,10.5,12.7,1008.3,1018.2,12.4,24.6,13,22.9
108,서울,2013-09-18,24.4,13.7,15.8,1010,1019.9,12.3,26.6,13.3,24.4
108,서울,2013-09-19,24.7,14.9,17,1008.2,1018,12.3,28.5,17.5,25.7
108,서울,2013-09-20,23.4,17.7,20.3,1005.9,1015.7,12.3,26.5,16.2,24.8
108,서울,2013-09-21,23.8,17,19.4,1005.4,1015.3,12.2,26.4,16.8,25.1
108,서울,2013-09-22,23.1,13.4,15.4,1007.7,1017.6,12.2,24.9,18.1,24.5
108,서울,2013-09-23,23.8,14.2,16.5,1005.8,1015.6,12.1,27.4,15.9,25.2
108,서울,2013-09-24,22,18.7,21.6,1001,1010.9,12.1,22.5,18.2,23.2
108,서울,2013-09-25,19.5,9.9,12.9,1001.9,1011.9,12.1,22.3,9,21.5
108,서울,2013-09-26,17.3,1.9,7,1006.8,1016.9,12,20.8,7.8,19.3
108,서울,2013-09-27,17.9,6.9,10.2,1008.3,1018.4,12,21.3,5.7,19.6
